title,price,location,link,model,storage,price_num,normalized_link
iPhone 16 Pro 256,"NT$31,500",New Taipei City,https://www.facebook.com/marketplace/item/1431863791279630/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 16 Pro,256,31500.0,https://www.facebook.com/marketplace/item/1431863791279630/
"🔥 iPhone 14 Pro 256GB 僅售 $18,000！電池全新100%！","NT$18,000",New Taipei City,https://www.facebook.com/marketplace/item/978285550904519/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 14 Pro,256,18000.0,https://www.facebook.com/marketplace/item/978285550904519/
iPhone 16 pro max 512g 大容量,"NT$40,000",New Taipei City,https://www.facebook.com/marketplace/item/736340732280420/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 16 Pro Max,512,40000.0,https://www.facebook.com/marketplace/item/736340732280420/
iPhone 16 128 藍 🔋100保固2025/11/6,"NT$22,000",New Taipei City,https://www.facebook.com/marketplace/item/996696262349572/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 16,128,22000.0,https://www.facebook.com/marketplace/item/996696262349572/
iPhone 16 128 粉 🔋100保固2025/9/24,"NT$22,000",New Taipei City,https://www.facebook.com/marketplace/item/1931274817643205/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 16,128,22000.0,https://www.facebook.com/marketplace/item/1931274817643205/
iPhone 16 pro max 256 黑 🔋100保固2026/6/5,"NT$36,000",New Taipei City,https://www.facebook.com/marketplace/item/1619332698757489/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 16 Pro Max,256,36000.0,https://www.facebook.com/marketplace/item/1619332698757489/
iPhone 16 128Gb,"NT$2,000","Taipei, Taiwan",https://www.facebook.com/marketplace/item/694609966684491/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 16,128,2000.0,https://www.facebook.com/marketplace/item/694609966684491/
iPhone 16 Pro Max 512GB,"NT$40,000",New Taipei City,https://www.facebook.com/marketplace/item/1284008289997722/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 16 Pro Max,512,40000.0,https://www.facebook.com/marketplace/item/1284008289997722/
iPhone 16 plus 128 綠 🔋100保固2025/12/1,"NT$25,500",New Taipei City,https://www.facebook.com/marketplace/item/1224479575465770/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 16 Plus,128,25500.0,https://www.facebook.com/marketplace/item/1224479575465770/
iPhone 16 128 粉 🔋90保固2025/9/23,"NT$20,500",New Taipei City,https://www.facebook.com/marketplace/item/1229526668912159/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 16,128,20500.0,https://www.facebook.com/marketplace/item/1229526668912159/
iPhone 16 pro max 256 白 🔋100保固2025/9/20,"NT$36,000",New Taipei City,https://www.facebook.com/marketplace/item/1093202022716442/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 16 Pro Max,256,36000.0,https://www.facebook.com/marketplace/item/1093202022716442/
iPhone 16 pro 128 黑色,"NT$29,500","Taipei, Taiwan",https://www.facebook.com/marketplace/item/1214135793784287/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 16 Pro,128,29500.0,https://www.facebook.com/marketplace/item/1214135793784287/
iPhone 16 Pro Max 512G,"NT$43,000","Taipei, Taiwan",https://www.facebook.com/marketplace/item/707625425372399/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 16 Pro Max,512,43000.0,https://www.facebook.com/marketplace/item/707625425372399/
iPhone 16 Pro Max 256 保固到2026/3/13,"NT$36,000",New Taipei City,https://www.facebook.com/marketplace/item/1875415226580734/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 16 Pro Max,256,36000.0,https://www.facebook.com/marketplace/item/1875415226580734/
iPhone 16 Plus 256 保固到2026/4/17,"NT$28,500",New Taipei City,https://www.facebook.com/marketplace/item/1125427009361238/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 16 Plus,256,28500.0,https://www.facebook.com/marketplace/item/1125427009361238/
Apple iphone16 128g全新已拆,"NT$24,500","Taipei, Taiwan",https://www.facebook.com/marketplace/item/2404785456529018/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 16,128,24500.0,https://www.facebook.com/marketplace/item/2404785456529018/
iPhone 14pro max 256g 附盒裝,"NT$4,000","Taipei, Taiwan",https://www.facebook.com/marketplace/item/2115254272283674/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 14 Pro Max,256,4000.0,https://www.facebook.com/marketplace/item/2115254272283674/
IPhone 14Promax-128G 紫色 全部都是原廠的,"NT$5,000",New Taipei City,https://www.facebook.com/marketplace/item/526471790431560/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 14 Pro Max,128,5000.0,https://www.facebook.com/marketplace/item/526471790431560/
IPhone 16 pro,"$32,000",New Taipei City,https://www.facebook.com/marketplace/item/1097605925558712/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 16 Pro,Unknown,32000.0,https://www.facebook.com/marketplace/item/1097605925558712/
iPhone16 Pro 256g 全新保固一年,"NT$30,000","Taipei, Taiwan",https://www.facebook.com/marketplace/item/627957556917188/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 16 Pro,256,30000.0,https://www.facebook.com/marketplace/item/627957556917188/
出自用iPhone11 64g 沒有維修,"NT$1,600","Taipei, Taiwan",https://www.facebook.com/marketplace/item/1227326972303867/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 11,64,1600.0,https://www.facebook.com/marketplace/item/1227326972303867/
iPhone14 Pro Max 256G 電92% 黑色,"NT$8,800",New Taipei City,https://www.facebook.com/marketplace/item/633536412591830/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 14 Pro Max,256,8800.0,https://www.facebook.com/marketplace/item/633536412591830/
iPhone16,"$23,000",New Taipei City,https://www.facebook.com/marketplace/item/667591952927240/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 16,Unknown,23000.0,https://www.facebook.com/marketplace/item/667591952927240/
I phone15 plus 256,"NT$20,000","Taipei, Taiwan",https://www.facebook.com/marketplace/item/973780137886885/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 15 Plus,256,20000.0,https://www.facebook.com/marketplace/item/973780137886885/
Iphone16粉 128G 🔋100#,"$22,000",New Taipei City,https://www.facebook.com/marketplace/item/1200974007751669/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 16,128,22000.0,https://www.facebook.com/marketplace/item/1200974007751669/
Iphone16 128藍色,"NT$22,000",New Taipei City,https://www.facebook.com/marketplace/item/1884213919069024/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 16,128,22000.0,https://www.facebook.com/marketplace/item/1884213919069024/
iPhone 16e-256g,"NT$21,000",New Taipei City,https://www.facebook.com/marketplace/item/588095567093709/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 16E,256,21000.0,https://www.facebook.com/marketplace/item/588095567093709/
🌟Facebook優選賣家🌟 iPhone 16 pro 512g 黑色 🖤,"NT$35,000","Taipei, Taiwan",https://www.facebook.com/marketplace/item/1411015943526500/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 16 Pro,512,35000.0,https://www.facebook.com/marketplace/item/1411015943526500/
全新iPhone 16 Pro Max 512GB 沙漠色鈦金屬 （在台完全正常使用）,"NT$40,000","Taipei, Taiwan",https://www.facebook.com/marketplace/item/1758458588119435/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 16 Pro Max,512,40000.0,https://www.facebook.com/marketplace/item/1758458588119435/
I phone 16 e 256g,"NT$19,000","Taipei, Taiwan",https://www.facebook.com/marketplace/item/1876278463139792/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 16,256,19000.0,https://www.facebook.com/marketplace/item/1876278463139792/
Iphone16pro 128,"$32,000",New Taipei City,https://www.facebook.com/marketplace/item/1911649329571751/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 16 Pro,128,32000.0,https://www.facebook.com/marketplace/item/1911649329571751/
iPhone 16E 256Gb,"NT$22,000",New Taipei City,https://www.facebook.com/marketplace/item/1364318504652085/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 16E,256,22000.0,https://www.facebook.com/marketplace/item/1364318504652085/
iphone15 Plus 256g,"NT$21,500","Taipei, Taiwan",https://www.facebook.com/marketplace/item/1959679671511712/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 15 Plus,256,21500.0,https://www.facebook.com/marketplace/item/1959679671511712/
12 PM 128-附原盒、犀牛盾,"NT$8,000","Taipei, Taiwan",https://www.facebook.com/marketplace/item/4177262252497704/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 12,128,8000.0,https://www.facebook.com/marketplace/item/4177262252497704/
I phone16 pro 128,"NT$28,500","Taipei, Taiwan",https://www.facebook.com/marketplace/item/1423558445514924/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 16 Pro,128,28500.0,https://www.facebook.com/marketplace/item/1423558445514924/
全新賠售~iPhone 16e 256G 白色 台灣公司貨 可面交,"NT$22,499","Taipei, Taiwan",https://www.facebook.com/marketplace/item/636770359387836/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 16E,256,22499.0,https://www.facebook.com/marketplace/item/636770359387836/
[雙北面交] iPhone 16 Pro 256GB（原色）全新未拆封,"NT$35,000",New Taipei City,https://www.facebook.com/marketplace/item/734479522592118/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 16 Pro,256,35000.0,https://www.facebook.com/marketplace/item/734479522592118/
iPhone 14 Pro Max 紫/256g：電池健康度86% 無盒 八成新,"NT$20,500",New Taipei City,https://www.facebook.com/marketplace/item/5142353695990623/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 14 Pro Max,256,20500.0,https://www.facebook.com/marketplace/item/5142353695990623/
徵 iPhone 16 Pro max 256 G 一支 我要買,"NT$30,000","Taipei, Taiwan",https://www.facebook.com/marketplace/item/741155175120405/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 16 Pro Max,256,30000.0,https://www.facebook.com/marketplace/item/741155175120405/
二手IPhone 15 pro 256G 原鈦色,"NT$20,000","Taipei, Taiwan",https://www.facebook.com/marketplace/item/1550253255659495/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 15 Pro,256,20000.0,https://www.facebook.com/marketplace/item/1550253255659495/
二手 IPhone16 pro 128G,"NT$28,500",New Taipei City,https://www.facebook.com/marketplace/item/1231219885178446/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 16 Pro,128,28500.0,https://www.facebook.com/marketplace/item/1231219885178446/
全新 Iphone 16,"$27,000",New Taipei City,https://www.facebook.com/marketplace/item/1623721621635508/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 16,Unknown,27000.0,https://www.facebook.com/marketplace/item/1623721621635508/
全新 iPhone 16 256GB 黑色,"NT$31,000",New Taipei City,https://www.facebook.com/marketplace/item/1013799453714796/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 16,256,31000.0,https://www.facebook.com/marketplace/item/1013799453714796/
I phone 16pro max256,"NT$36,000",New Taipei City,https://www.facebook.com/marketplace/item/1052123786569804/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 16 Pro Max,256,36000.0,https://www.facebook.com/marketplace/item/1052123786569804/
Iphone16 128G 黑色,"NT$26,000",New Taipei City,https://www.facebook.com/marketplace/item/605428752662186/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 16,128,26000.0,https://www.facebook.com/marketplace/item/605428752662186/
16 pro max 256 白,"NT$36,500",New Taipei City,https://www.facebook.com/marketplace/item/708985638596967/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 16 Pro Max,256,36500.0,https://www.facebook.com/marketplace/item/708985638596967/
"Iphone15 128G,16pro max256G,12pro max128G,12 128G,11pro max 256G,11pro 256G,11 64G,xs 256G","$16,800","Taipei, Taiwan",https://www.facebook.com/marketplace/item/622109397334108/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 15,128,16800.0,https://www.facebook.com/marketplace/item/622109397334108/
Iphone16plus128綠色,"NT$25,500",New Taipei City,https://www.facebook.com/marketplace/item/1039550948294394/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 16 Plus,128,25500.0,https://www.facebook.com/marketplace/item/1039550948294394/
Ipad10 10.9吋／wifi/64g 二手 Iphone15 promax 256g 二手（已售出） Airport pro2 二手（已售出）,"NT$11,000",New Taipei City,https://www.facebook.com/marketplace/item/1790199581876818/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 15 Pro Max,64,11000.0,https://www.facebook.com/marketplace/item/1790199581876818/
iPhone16Pro max 256G 金🔋100%保25/11/5,"NT$35,500",New Taipei City,https://www.facebook.com/marketplace/item/2706350989559929/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 16 Pro Max,256,35500.0,https://www.facebook.com/marketplace/item/2706350989559929/
iPhone 16 pro max 256Gb,"NT$36,000",New Taipei City,https://www.facebook.com/marketplace/item/715272411469105/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 16 Pro Max,256,36000.0,https://www.facebook.com/marketplace/item/715272411469105/
iPhone 16 Pro 256GB 黑 原廠保固,"NT$32,900",New Taipei City,https://www.facebook.com/marketplace/item/707208085412450/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Acab35841-1136-48ed-a960-a468c09929c2&__tn__=!%3AD,iPhone 16 Pro,256,32900.0,https://www.facebook.com/marketplace/item/707208085412450/
